"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Env_Materials/_90sPackMeterials/Materials/Demo/Base_Color_Yellow.Base_Color_Yellow","0","0","67","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Environment_Assets/Lighthouse/light.light","0","0","23","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Env_Materials/_90sPackMeterials/Materials/Demo/Base_Color_White.Base_Color_White","0","0","67","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Env_Materials/_90sPackMeterials/Materials/Demo/Base_Color_Red.Base_Color_Red","0","0","67","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Env_Materials/_90sPackMeterials/Materials/Demo/Base_Color_Green.Base_Color_Green","0","0","67","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Env_Materials/_90sPackMeterials/Materials/Demo/Base_Color_Blue.Base_Color_Blue","0","0","67","1","0.000000","0","0"
"/Game/_Core/_Player/_PlayerAnimations/_Animations/IDL/Carp_M.Carp_M","0","0","26","1","0.000000","0","0"
"/Game/_Core/_Player/_PlayerAnimations/_Animations/IDL/Carp_Holst_M.Carp_Holst_M","0","0","26","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","35","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/NiagaraFluids/Materials/Utility/M_SolidParticle.M_SolidParticle","0","0","6","1","0.000000","0","0"
"/Landmass/Landscape/Mats/Debug/Intersections.Intersections","0","0","5","1","0.000000","0","0"
"/Game/_PlaceHolderts/Oz_PSX_Shader/PSX_FOG_M.PSX_FOG_M","0","0","4","1","0.000000","0","0"
"/Game/_PlaceHolderts/90s_Style_Graphics/Materials/PPM/Outline_Master_PPM.Outline_Master_PPM","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/NiagaraFluids/Materials/Grid3D/M_DebugVolumeSlice.M_DebugVolumeSlice","0","0","18","2","0.000000","0","18"
"/Landmass/Landscape/BlueprintBrushes/Materials/CopyRT.CopyRT","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","58","6","0.000000","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","87","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","2","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Game/_PlaceHolderts/90s_Style_Graphics/Materials/Masters/Speech_Bubble_Text.Speech_Bubble_Text","0","0","5","1","0.000000","0","0"
"/Game/_PlaceHolderts/OG_Textures/Trash_M.Trash_M","0","0","14","1","0.000000","0","0"
"/Game/_PlaceHolderts/OG_Textures/Master_Material.Master_Material","0","0","23","1","0.000000","0","23"
"/Game/_Level/_LevelAssets/_Props/_Weapons/AR_rifle/AR-15.AR-15","0","0","35","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/photos/aykan_M.aykan_M","0","0","23","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/woodenBoard_M.woodenBoard_M","0","0","40","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/Playground_2.Playground_2","0","0","44","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/plate1.plate1","0","0","40","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/Boxwood_M.Boxwood_M","0","0","40","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","127","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","677","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Game/_PlaceHolderts/OG_Textures/Clean_snow_M.Clean_snow_M","0","0","23","1","0.000000","0","0"
"/Game/_PlaceHolderts/OG_Textures/Blood_normal_M.Blood_normal_M","0","0","36","1","0.000000","0","0"
"/Game/_PlaceHolderts/90s_Style_Graphics/Materials/Masters/Billboard_Floating_Master.Billboard_Floating_Master","0","0","63","1","0.000000","0","0"
"/Game/_PlaceHolderts/90s_Style_Graphics/Materials/Masters/Material_Master.Material_Master","0","0","304","2","0.000000","0","1216"
"/Game/_Level/_LevelAssets/_Props/_Weapons/shotgun/Remington_M.Remington_M","0","0","50","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Weapons/Fireaxe/Fireaxe_M.Fireaxe_M","0","0","50","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/Monke_M.Monke_M","0","0","23","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/whiskey.whiskey","0","0","40","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/Tree_M.Tree_M","0","0","88","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/TrashCan_Texture_Mat.TrashCan_Texture_Mat","0","0","40","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/StreetLamp_Branch_Mat.StreetLamp_Branch_Mat","0","0","40","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/StreetLamp_Base_DM_Mat.StreetLamp_Base_DM_Mat","0","0","40","1","0.000000","0","0"
"/Game/_Level/_LevelAssets/_Props/_Materials/Playground_3.Playground_3","0","0","40","1","0.000000","0","0"
